"","Sample","mean","sd","measure"
"TOB1_8","TOB1_8",5.22106372380037,0.0476970126939263,"Shannon"
"TOB2_8","TOB2_8",4.23117439945437,0.0704454977906891,"Shannon"
"TOB3_8","TOB3_8",4.29547255431163,0.0656038471722592,"Shannon"
"COB1_12","COB1_12",5.00182522661518,0.0777059803726654,"Shannon"
"COB2_12","COB2_12",4.2320814334115,0.0729028767049196,"Shannon"
"COB3_12","COB3_12",3.83126493860831,0.0675355383286352,"Shannon"
"COB4_12","COB4_12",4.74934123543258,0.0611258631808981,"Shannon"
"COB5_12","COB5_12",4.32408634119778,0.0672550145440136,"Shannon"
"TIB1_12","TIB1_12",4.0552425046296,0.0802646742774999,"Shannon"
"TIB2_12","TIB2_12",4.74701745596451,0.0561687680088505,"Shannon"
"TIB3_12","TIB3_12",4.03788786474472,0.0781124825603312,"Shannon"
"TIB4_12","TIB4_12",4.00577033629701,0.0699672348136979,"Shannon"
"TIB5_12","TIB5_12",3.33049899656484,0.0751245422225564,"Shannon"
"CIB1_12","CIB1_12",4.42890046494628,0.0721999105491482,"Shannon"
"CIB2_12","CIB2_12",3.69191854842192,0.0902272905197357,"Shannon"
"CIB3_12","CIB3_12",3.3370497006431,0.10505384407486,"Shannon"
"TOB3_12","TOB3_12",4.39380897869373,0.0865354722229204,"Shannon"
"SWOB_4","SWOB_4",4.81169563725073,0.0614615630050959,"Shannon"
"SWIB_4","SWIB_4",5.05320298372375,0.0496670968706966,"Shannon"
"SWOB_5","SWOB_5",4.98931153251023,0.0612094542143128,"Shannon"
"SWIB_5","SWIB_5",5.21058136033653,0.0413661465195977,"Shannon"
"SWOB_6","SWOB_6",4.80453429523088,0.0612013980848109,"Shannon"
"SWIB_6","SWIB_6",5.17416221847656,0.045164931134263,"Shannon"
"SWOB_7","SWOB_7",4.68042334312671,0.0696114180603779,"Shannon"
"SWIB_7","SWIB_7",5.14713537764392,0.0429983441183297,"Shannon"
"SWOB_8","SWOB_8",5.46914815506372,0.0356141413527802,"Shannon"
"SWIB_8","SWIB_8",5.2495239707924,0.0428162835836395,"Shannon"
"SWOB_12","SWOB_12",5.02534368230237,0.0630102240579437,"Shannon"
"SWIB_12","SWIB_12",5.19030708272732,0.054086921016501,"Shannon"
