"","Sample","mean","sd","measure"
"TIB4_12","TIB4_12",30.8546354682503,3.55612020875466,"Inverse Simpson"
"TIB5_12","TIB5_12",15.3119329535861,1.458141034501,"Inverse Simpson"
"CIB1_12","CIB1_12",43.9916310350638,5.74097539637846,"Inverse Simpson"
"CIB2_12","CIB2_12",16.2451097249661,2.62947990486372,"Inverse Simpson"
"CIB3_12","CIB3_12",12.1792092358336,1.43875180261963,"Inverse Simpson"
"TOB3_12","TOB3_12",40.712260884392,5.70275694148356,"Inverse Simpson"
"SWOB_4","SWOB_4",78.207573093893,8.74125994625992,"Inverse Simpson"
"SWIB_4","SWIB_4",118.904895707993,11.042024020599,"Inverse Simpson"
"SWOB_5","SWOB_5",106.639578101931,10.9209471327807,"Inverse Simpson"
"SWIB_5","SWIB_5",151.095688178943,10.5759982129207,"Inverse Simpson"
"SWOB_6","SWOB_6",82.8049283266106,8.76436591655288,"Inverse Simpson"
"SWIB_6","SWIB_6",145.414954483981,11.8833865748942,"Inverse Simpson"
"SWOB_7","SWOB_7",72.6301734459247,8.13999437988947,"Inverse Simpson"
"SWIB_7","SWIB_7",143.367689794583,10.2052575853034,"Inverse Simpson"
"SWOB_8","SWOB_8",213.557670769223,11.2880780155494,"Inverse Simpson"
"SWIB_8","SWIB_8",159.535468249322,12.133536130681,"Inverse Simpson"
"SWOB_12","SWOB_12",100.513734450381,11.4586161457681,"Inverse Simpson"
"SWIB_12","SWIB_12",143.861575834813,13.2828285399474,"Inverse Simpson"
