OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
zOTU_1014	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_2	Surface_2_ge	
zOTU_1288	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	
zOTU_1453	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	
zOTU_1533	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007_ge	
zOTU_1828	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified	
zOTU_1997	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Rhodobium	
zOTU_2034	Bacteria	Acidobacteria	Holophagae	Subgroup_10	Sva0725	Sva0725_ge	
zOTU_1038	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Endozoicomonas	
zOTU_1077	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_fa	BD7-8_marine_group_ge	
zOTU_1569	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
zOTU_1458	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	
zOTU_499	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	
zOTU_518	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	uncultured	
zOTU_872	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1113	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	
zOTU_1668	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacteraceae_unclassified	
zOTU_1812	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_2028	Bacteria	Cyanobacteria	Cyanobacteria	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified	
zOTU_928	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	SAR86_clade_ge	
zOTU_1507	Bacteria	Planctomycetes	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	
zOTU_273	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	
zOTU_274	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_494	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquibacter	
zOTU_720	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_2	Surface_2_ge	
zOTU_973	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1072	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	uncultured	
zOTU_801	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	uncultured	
zOTU_1196	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus	
zOTU_1568	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina	
zOTU_775	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	
zOTU_1039	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
zOTU_1345	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1674	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified	
zOTU_1400	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified	
